Date,Step,Duration(s),Status
2026-02-23T10:00:45Z,Build Release,7.310,Failure
2026-02-23T10:01:00Z,SwiftLint,0.107,Failure
2026-02-23T10:01:01Z,ProjectChecker,0.260,Failure
2026-02-23T10:01:01Z,XcodeGen,0.049,Success
2026-02-23T10:01:01Z,SwiftGen,0.098,Success
2026-02-23T10:01:52Z,Tests,51.438,Failure
2026-02-23T10:01:59Z,Build Release,7.027,Failure
2026-02-23T10:04:16Z,SwiftLint,0.193,Failure
2026-02-23T10:04:16Z,ProjectChecker,0.285,Success
2026-02-23T10:04:16Z,XcodeGen,0.053,Success
2026-02-23T10:04:16Z,SwiftGen,0.096,Success
2026-02-23T10:05:07Z,Tests,51.418,Failure
2026-02-23T10:05:14Z,Build Release,7.015,Failure
2026-02-23T10:08:31Z,SwiftLint,0.163,Failure
2026-02-23T10:08:31Z,ProjectChecker,0.331,Success
2026-02-23T10:08:31Z,XcodeGen,0.051,Success
2026-02-23T10:08:31Z,SwiftGen,0.030,Success
2026-02-23T10:09:23Z,Tests,51.655,Failure
2026-02-23T10:09:30Z,Build Release,7.156,Failure
2026-02-23T10:10:26Z,SwiftLint,0.234,Failure
2026-02-23T10:10:27Z,ProjectChecker,0.294,Success
2026-02-23T10:10:27Z,XcodeGen,0.052,Success
2026-02-23T10:10:27Z,SwiftGen,0.030,Success
2026-02-23T10:11:19Z,Tests,51.864,Failure
2026-02-23T10:11:26Z,Build Release,7.275,Failure
2026-02-23T10:11:42Z,SwiftLint,0.184,Failure
2026-02-23T10:11:42Z,ProjectChecker,0.274,Success
2026-02-23T10:11:42Z,XcodeGen,0.048,Success
2026-02-23T10:11:42Z,SwiftGen,0.031,Success
2026-02-23T10:12:35Z,Tests,52.698,Failure
2026-02-23T10:12:41Z,Build Release,6.605,Failure
2026-02-23T10:13:25Z,SwiftLint,0.260,Failure
2026-02-23T10:13:25Z,ProjectChecker,0.237,Success
2026-02-23T10:13:26Z,XcodeGen,0.047,Success
2026-02-23T10:13:26Z,SwiftGen,0.032,Success
2026-02-23T10:14:16Z,Tests,50.639,Failure
2026-02-23T10:14:24Z,Build Release,7.742,Failure
2026-02-23T10:14:51Z,SwiftLint,0.174,Success
2026-02-23T10:14:51Z,ProjectChecker,0.335,Success
2026-02-23T10:14:52Z,XcodeGen,0.051,Success
2026-02-23T10:14:52Z,SwiftGen,0.098,Success
2026-02-23T10:15:43Z,Tests,51.261,Success
2026-02-23T10:15:50Z,Build Release,6.781,Success
2026-02-23T10:15:54Z,Git Commit & Push,4.380,Success
2026-02-23T10:19:19Z,SwiftLint,0.092,Success
2026-02-23T10:19:19Z,ProjectChecker,0.246,Success
2026-02-23T10:19:19Z,XcodeGen,0.045,Success
2026-02-23T10:19:19Z,SwiftGen,0.098,Success
2026-02-23T10:20:13Z,Tests,53.698,Success
2026-02-23T10:20:20Z,Build Release,7.095,Success
2026-02-23T10:20:24Z,Git Commit & Push,3.766,Success
2026-02-23T10:21:47Z,SwiftLint,0.193,Failure
2026-02-23T10:21:47Z,ProjectChecker,0.136,Failure
2026-02-23T10:21:47Z,XcodeGen,0.117,Success
2026-02-23T10:21:47Z,SwiftGen,0.034,Success
2026-02-23T10:22:39Z,Tests,51.371,Failure
2026-02-23T10:22:47Z,Build Release,7.898,Failure
2026-02-23T10:23:48Z,SwiftLint,0.244,Failure
2026-02-23T10:23:49Z,ProjectChecker,0.289,Failure
2026-02-23T10:23:49Z,XcodeGen,0.051,Success
2026-02-23T10:23:49Z,SwiftGen,0.030,Success
2026-02-23T10:24:40Z,Tests,51.513,Failure
2026-02-23T10:24:47Z,Build Release,7.129,Failure
2026-02-23T10:25:22Z,SwiftLint,0.110,Failure
2026-02-23T10:25:22Z,ProjectChecker,0.203,Failure
2026-02-23T10:25:22Z,XcodeGen,0.050,Success
2026-02-23T10:25:22Z,SwiftGen,0.031,Success
2026-02-23T10:26:13Z,Tests,51.023,Failure
2026-02-23T10:26:20Z,Build Release,6.980,Failure
2026-02-23T10:26:53Z,SwiftLint,0.108,Success
2026-02-23T10:26:53Z,ProjectChecker,0.206,Failure
2026-02-23T10:26:53Z,XcodeGen,0.053,Success
2026-02-23T10:26:53Z,SwiftGen,0.098,Success
2026-02-23T10:27:45Z,Tests,51.486,Success
2026-02-23T10:27:52Z,Build Release,6.845,Success
2026-02-23T10:28:21Z,SwiftLint,0.169,Success
2026-02-23T10:28:22Z,ProjectChecker,0.281,Success
2026-02-23T10:28:22Z,XcodeGen,0.052,Success
2026-02-23T10:28:22Z,SwiftGen,0.100,Success
2026-02-23T10:29:14Z,Tests,52.268,Success
2026-02-23T10:29:21Z,Build Release,7.059,Success
2026-02-23T10:29:27Z,Git Commit & Push,5.614,Success
2026-02-23T10:38:22Z,SwiftLint,0.111,Success
2026-02-23T10:38:22Z,ProjectChecker,0.093,Success
2026-02-23T10:38:22Z,XcodeGen,0.052,Success
2026-02-23T10:38:22Z,SwiftGen,0.096,Success
2026-02-23T10:38:27Z,Tests,4.554,Failure
2026-02-23T10:38:30Z,Build Release,3.637,Failure
2026-02-23T10:38:56Z,SwiftLint,0.232,Success
2026-02-23T10:38:56Z,ProjectChecker,0.101,Success
2026-02-23T10:38:56Z,XcodeGen,0.118,Success
2026-02-23T10:38:56Z,SwiftGen,0.034,Success
2026-02-23T10:40:05Z,Tests,68.523,Failure
2026-02-23T10:40:13Z,Build Release,7.727,Success
2026-02-23T10:42:14Z,SwiftLint,0.114,Success
2026-02-23T10:42:14Z,ProjectChecker,0.099,Success
2026-02-23T10:42:14Z,XcodeGen,0.058,Success
2026-02-23T10:42:14Z,SwiftGen,0.103,Success
2026-02-23T10:43:09Z,Tests,54.831,Failure
2026-02-23T10:43:17Z,Build Release,8.033,Success
2026-02-23T10:43:35Z,SwiftLint,0.172,Success
2026-02-23T10:43:35Z,ProjectChecker,0.104,Success
2026-02-23T10:43:35Z,XcodeGen,0.118,Success
2026-02-23T10:43:35Z,SwiftGen,0.035,Success
2026-02-23T10:43:40Z,Tests,4.588,Failure
2026-02-23T10:43:47Z,Build Release,6.451,Success
2026-02-23T10:44:13Z,SwiftLint,0.171,Success
2026-02-23T10:44:13Z,ProjectChecker,0.036,Success
2026-02-23T10:44:13Z,XcodeGen,0.052,Success
2026-02-23T10:44:13Z,SwiftGen,0.034,Success
2026-02-23T10:45:08Z,Tests,55.244,Failure
2026-02-23T10:45:16Z,Build Release,7.508,Success
2026-02-23T10:45:33Z,SwiftLint,0.103,Success
2026-02-23T10:45:33Z,ProjectChecker,0.122,Success
2026-02-23T10:45:33Z,XcodeGen,0.067,Success
2026-02-23T10:45:33Z,SwiftGen,0.040,Success
2026-02-23T10:46:27Z,Tests,54.276,Failure
2026-02-23T10:46:34Z,Build Release,6.828,Success
2026-02-23T10:46:45Z,SwiftLint,0.171,Success
2026-02-23T10:46:45Z,ProjectChecker,0.103,Success
2026-02-23T10:46:45Z,XcodeGen,0.051,Success
2026-02-23T10:46:45Z,SwiftGen,0.032,Success
2026-02-23T10:47:39Z,Tests,53.493,Success
2026-02-23T10:47:46Z,Build Release,6.858,Success
2026-02-23T10:47:50Z,Git Commit & Push,3.824,Success
2026-02-23T10:50:17Z,SwiftLint,0.097,Success
2026-02-23T10:50:17Z,ProjectChecker,0.101,Success
2026-02-23T10:50:17Z,XcodeGen,0.050,Success
2026-02-23T10:50:17Z,SwiftGen,0.029,Success
